Category;Joke title;Joke; Rounded length of joke in tens of chars;;;
Blonde;Waterlogged Blonde;"What do you call a blond who can't swim? 

Bait!";5;;;
Blonde;Special Blonde Shower Caps;"A blonde was walking down the street with shower caps on her breasts.

A guy asked her, ""Hey, what's with the shower caps?""

""Shower caps?"" she replied. ""These are booby condoms!""";18;;;
Blonde;What's The Difference, Yo?;"What's the difference between a blonde and a construction worker? 

One lays bricks and the other lays pricks!";11;;;
Blonde;The Blonde and the E-Mail;A blonde was telling a brunette that her computer broke. So the brunette said she would check the blonde's e-mail for her. The blonde said, ''Cool! E-mail me and tell me what I got.'';18;;;
Blonde;A Blonde's Theft;"A blonde goes to the library to get a book. A few days later, she comes back and says to librarian at the counter, ""This book was very boring. It had too many characters and too many numbers, so I would like to return it."" 

The librarian says to her coworkers, ""So here's the person who took our phone book!""";31;;;
Blonde;Paper Street;"One day in class, the teacher told everyone to turn to a blank sheet of paper in their notebooks.  She noticed that Chip, the dumb jock, was having trouble with her directions.

""Have you found a blank piece yet, Chip?"" said the teacher.

""Nope. I haven't,"" said the dumb jock.  ""Somebody went through and drew lines across all of the pages.""";34;;;
Blonde;Goverment Wrestling Federation;"    13> Driving your fellow
Congressman into the turnbuckle now considered acceptable method of ending a filibuster.

    12> President now shouts
entire State of the Union address with his face 18 inches from TV camera.

    11> IRS audit replaced
by more efficient reverse body slam onto enema.

    10> Government becomes a
charade of meaningless noises and lots of posturing by a bunch of inarticulate losers with
no class or manners-- Hey, wait a minute...

    9> Free school lunches
destined for the needy instead go to the biggest, meanest, stupidest kid in each school.

    8> Sex scandals now
involve even skankier women.

    7> January 20:
Inauguration ceremonies January 21: FDA approves over-the-counter sale of steroids.

    6> Newt Gingrich is
finally able to wear his mask and cape out of the house.

    5> During House debate,
it is acceptable to yield to the gentleman wielding a folding chair.

    4> Difficult finding
interns willing to accommodate an entire pouch of Skoal.

    3> Strom Thurmond
*finally* removed by The Undertaker.

    2> Line to bodyslam Ken
Starr winds around Lincoln Memorial.

    1> Before: Mr. Vice
President      After: Stone Cold Cheney

Back";124;;;
Blonde;Seduction Made Easy;"What do blonde women put behind their ears to attract men?  

Their ankles.";8;;;
Blonde;Blonde in the Mirror;"Two blondes find a mirror on the sidewalk.The first blonde picks it up, looks into it and says, ""Hey, I know this person! I've seen her somewhere before.""The second blonde takes the mirror, looks into it and says, ""Duh! Of course you have -- that's me!""";25;;;
Blonde;Grand Theft Auto;"A blonde get's in her car and notices her steering wheel, dashboard, and windshield is missing. She calls the police and reports a theft. When the police officer comes, he looks at  the blonde who is crying and and says, ""Ma'am...you're sitting in the backseat...""";26;;;
Blonde;Blond Dog;"Q: Why does a blond dog have lumps on his head?  

A: He's been chasing parked cars.";8;;;
Blonde;Blondes on a Rope;"There were 11 blondes and one brunette on a rope climbing up a mountain. The rope began slipping and breaking.  The brunette said, ''Girls, I'm going to let go of the rope since it can't hold all of us. Your lives are more important to me."" She made a big speech about how special the blondes were.   At the end of her speech, all of the blondes started clapping.";36;;;
Blonde;Blonde Grenadier;"Q: What do you do if a blonde throws a grenade at you?    

A: Pull the pin and throw it back.";9;;;
Blonde;The Amputee Blonde in the Tree;"How do you get a one-armed blonde out of a tree?   

Sit a kitty beside her.";8;;;
Blonde;Blonde License;"Q: Why was the blonde mad when she got her drivers license back?  
  
A: She had an ""F"" under ""Sex.""";10;;;
Blonde;Rooster and a Blonde Riddle;"Q: What's the difference between a rooster and a blonde?A: A rooster says, ""Cock-a-doodle-doo,"" and a blonde says, ""Any c**k'll do.""";13;;;
Blonde;Blonde on a Fence;"Q: Why did the blonde scale the chain-link fence?

A: To see what was on the other side.";9;;;
Blonde;Blonde with Money;"A blonde and a brunette were opening their paychecks when the blonde asked the brunette what she was going to buy. 

The brunette replied, ""I think I'll buy a new set of plates because mine are chipped. What are you going to buy?"" 

The blonde said, ""I think I'm gonna buy a new butt because my old one has an enormous crack in it.""";33;;;
Blonde;Le Parfumerie y le Blonde;"One day two blondes walk into a perfume shop. The one blonde picks up a bottle of perfume that is titled ""Viens Chez Moi."" 

The blonde asks the manager what it means, and the manager says it means, ""Come to Me.""

So the blonde smells the perfume and asks her friend, ""Does this smell like come to you?  Because it doesn't smell like come to me.""";35;;;
Blonde;Soccer Blonde;"A blonde began a job as an elementary school counselor and she was eager to help. One day during recess she noticed a girl standing by herself on one side of a playing field while the rest of the kids enjoyed a game of soccer at the other. 

The blonde approached and asked if she was all right. 

The girl said she was. 

A little while later, however, Sandy noticed the girl was in the same spot, still by herself. 
Approaching again, Sandy offered, ""Would you like me to be your friend?"" 

The girl hesitated, then said, ""Okay,"" looking at the woman suspiciously. 

Feeling she was making progress, the blonde then asked, ""Why are you standing here all alone?"" 

""Because,"" the little girl said with great exasperation, ""I'm the goalie!""";74;;;
Blonde;Blonde at the Appliance Store;"A blonde went to the appliance store sale and found a bargain. ""I would like to buy this TV,"" she told the salesman. 

""Sorry, we don't sell to blondes,"" he replied.

She hurried home and dyed her hair, then came back and again told the salesman, ""I would like to buy this TV."" 

""Sorry, we don't sell to blondes,"" he replied. 

""Darn, he recognized me,"" she thought. 

She went for a complete disguise this time: haircut and new color, new outfit and big sunglasses, and then she waited a few days before she again approached the salesman. ""I would like to buy this TV.""

""Sorry, we don't sell to blondes,"" he replied. 

Frustrated, she exclaimed, ""How do you know I'm a blonde?""

""Because that's a microwave,"" he replied.";72;;;
Blonde;Sealy Posturepedic;"What's the difference between a blonde and a hole in the mattress?

I still can't find the difference.";10;;;
Blonde;The Blonde's Pregnancy Scare;"A blonde takes her typewriter to the doctor. ""Doc, I'm afraid my typewriter is pregnant.""

The doctor asks, ""Why in the world would you think that?""

She says, ""Because it's started missing its period.""";20;;;
Blonde;Stuffing;"Q: Why did the blonde have square boobs?

A: She forgot to take the tissues out of the box.";9;;;
Blonde;Blonde's Tricycle;Q: How do you recognize a blonde's tricycle?  A: It's the one with the kickstand.;8;;;
Blonde;A Blonde's Brain At Work;"A blonde, a brunette and a redhead all work for a female boss who always goes home early. 

""Hey girls,"" says the brunette. ""Let's go home early tomorrow. She'll never know."" 

So the next day, they all leave right after their boss. The brunette gets some extra gardening done, the redhead goes to a bar, and the blonde goes home to find her husband having sex with the female boss. She quietly sneaks out of the house and returns at her normal time.

""That was fun,"" says the brunette. ""We should do it again sometime.""

""No way,"" says the blonde. ""I almost got caught.""";57;;;
Blonde;Sexually Active Blonde;"Q: What aren't blondes sexually active?

A: Because they just lie there.";7;;;
Blonde;The Blonde Fox;"Did you hear the one about the blonde fox that got stuck in a trap?      

She chewed off three legs and was still stuck.";12;;;
Blonde;Blonde, Brunette, Blonde;"Q: What do you call a brunette between two blondes?  

A: The translator.";7;;;
Blonde;Three Wishes;"A blonde, a brunette and a redhead are stuck on an island and discover a magic lamp. They rub and rub, and sure enough, out pops a genie.

The genie says, ""Since I can only grant three wishes, you may each have one.""

The brunette says, ""I've been stuck here for years. I miss my family, my husband and my life. I just want to go home.""

Poof! The brunette gets her wish, and she is returned to her family.

The redhead says, ""I've also been stuck here for years, and I wish I could go home, too.""

Poof! The redhead gets her wish, and she is returned to her family.

The blonde starts crying uncontrollably.

The genie asks, ""My dear, what's the matter?""

The blonde whimpers, ""I wish my friends were still here.""";71;;;
Blonde;The Blonde Hostess;"Why did the blonde have empty beer cans in her fridge? 

For people who don't drink.";8;;;
Blonde;Swim Meet;A blonde, a brunette, and a redhead all enter a swim meet. The gun goes off, and the brunette quickly captures first, with the redhead coming in second. An hour later, the blonde emerges from the pool and complains to the judges that while she was doing the breast stroke, the others were using their arms.;31;;;
Blonde;Blonde Test;"Q: What happens after you find out that a blonde passed a test? 
 
A: You wake up.";8;;;
Blonde;Blonde at the Wheel;"Q: Why did the blonde have lipstick all over her steering wheel?      
    
A: She was trying to blow her horn.";11;;;
Blonde;911; find the eleven.;2;;;
Blonde;What do you call a blonde with a dollar ...;"Q: What do you call a blonde with a dollar on her head?
A: All you can eat under a buck.";9;;;
Blonde;You Big Tomato;"Why do blondes wash their hair in the sink? 

That's where you wash all your vegetables!";9;;;
Blonde;Blonde at the UN;"Q: What did the blonde say when she was offered a position at the UN?A: ""Would that be a missionary position?""";11;;;
Blonde;Taxed Blonde;"A blonde walks into a drugstore and purchases a pack of condoms. ""That will be $1.08, please,"" says the clerk.

""What are the eight cents for?"" asks the blonde. ""It says one dollar right here on the packaging.""

""Tax,"" replies the clerk.

""Gee,"" says the blonde, ""I thought you just rolled them on and they stayed put.""";32;;;
Blonde;Smile If You're Blonde;"Q: Why do blondes smile when lightning flashes?

A: Because they think their picture is being taken.";10;;;
Blonde;I Am Confused. Really, Really Confused.;"How do you confuse a blonde?    

Tell her to count the stairs on a escalator.";8;;;
Blonde;A Blonde at the YMCA;"Q: What did the blonde say when she saw the sign for the YMCA?    

A: ""Look, they spelled Macy's wrong!""";10;;;
Blonde;Rope a Dope;"There were five blondes and one brunette holding onto a rope off the edge of a cliff.

But their rope could only bear the weight of of five people.

The brunette said,  ""Save yourselves.  I'll let go.""

Impressed by her sacrifice, all of the blondes clapped...";26;;;
Blonde;The Blonde and the Worm;"Q: How does a blonde try to kill a worm?     

A: Bury it alive!";6;;;
Blonde;Blonde's Favorite Blonde Joke;"Q: What's brown and black and blue all over? 

A: A brunette who has been telling too many blonde jokes.";10;;;
Blonde;Life Saver;"A blonde is working as a lifeguard at a swimming pool when a girl begins to drown, screaming ""lifesaver! lifesaver!"" 

The blonde thinks for a moment, and then asks ""cherry or grape?""";18;;;
Blonde;Safe Blonde Sex;"Q: How did the blonde prepare for safe sex?

A: She installed a padded headboard.";8;;;
Blonde;Blonde's Car Preferences;"Q: Why does a blond prefer BMW over Chevrolet?      

A: She can spell BMW.";8;;;
Blonde;Blonde in a Tree;"Q: How do you get a blonde out of a tree? 

A: You wave at her.";6;;;
Blonde;Say What Again?;"Did you hear about the blonde who didn't catch the joke? 

It went over her head!";8;;;
Blonde;Our Stupid Apartment's On Fire!;"Two blondes realize that their apartment is on fire and go out onto the balcony.

""Help, help!"" yells one of the blondes.

""Help us, help us!"" yells the other.

""Maybe it would help if we yelled together,"" said the first blonde.

""Good idea,"" said the other.

""Together, together!""";28;;;
Blonde;How do you drown a blonde?;"How do you drown a blonde?
Put a scratch-n-sniff sticker at the bottom of a pool.";8;;;
Blonde;Blondes in a Lightning Storm;"Q: Why do blondes smile when there's lightning?  
 
A: They think they're getting their picture taken.";10;;;
Blonde;Take 'Em Off, Boys;"A pretty blonde woman is driving down a country road when her car breaks down. She goes to the nearest farmhouse and knocks on the door.    When the farmer answers, she says to him, ''My car broke down! I don't know what to do! Can I stay here for the night until I can get some help tomorrow?''    ''Well,'' drawls the farmer, ''you can stay here, but I don't want you messin' with my sons Jed and Luke.''     

The blonde looks through the screen door and sees two men standing behind the farmer.  ''Okay,'' she says.    After going to bed, the woman begins to get a little hot  thinking about the two boys in the room next to her. So she quietly goes into their room and says, ''Boys, how would you like for me to teach you the ways of the world?''    

They say, ''Huh?''     

She says, ''The only thing is, I don't want to get pregnant, so you have to wear these rubbers.'' She puts them on the boys, and the three of them go at it all night long.     

Forty years later Jed and Luke are sitting on the front porch, rocking back and forth.    Jed says, ''Luke? You remember that blonde woman that came by here forty years ago and showed us the ways of the world?''    

''Yeah,'' says Luke, ''I remember.''    

''Well, do you care if she gets pregnant?'' asks Jed.    

''Nope,'' says Luke, ''I reckon not.''    

''Me neither,'' says Jed. ''Let's take these things off.''";138;;;
Blonde;Sunroof You All Night Long;"Why do blondes like sunroofs?    

More legroom!";5;;;
Blonde;We Don't Swerve Blondes Here;"A cop pulled over a car for swerving all over the road. The blonde at the wheel looked very confused and scared. 

""What's going on here, ma'am?""

""Well, I was driving along when all of a sudden there was a tree right in my path. I swerved to miss it, but there was another tree. And after that, another, and another."" The cop looked inside her car and sighed.

""Ma'am. That's your air freshener.""";40;;;
Blonde;Don't Step Out of the Car;"A blonde is driving her new sports car and cuts out in front of a semi, almost causing it to drive over a cliff.  The driver furiously motions for her to pull over.

The driver gets out and draws a circle and tells her to stand in it. Then he gets out his knife and cuts up her leather seats. He turns around and sees that she's smiling. So he goes to his truck, takes out a baseball bat and starts busting her windows and beating her car. He looks back to see that she's laughing. 

He's really mad now, so he takes his knife and slices her tires. He turns around, and she's laughing so hard that she's about to fall down. He demands, ""What's so funny?"" 

She says, ""Every time you weren't looking, I stepped out of the circle!""";73;;;
Blonde;Blonde Rolls Back the Odometer;"A blonde wanted to sell her car, but she couldn't find any buyers. She called her friend for advice, and her friend asked her how many miles she had on her car.

She answered, ""235,000 miles."" Her friend told her that was the problem. So the blonde went to the mechanic and told him to put the miles at 40,000. Two days later the blonde's friend asked her if she sold the car after rolling back the odometer. The blonde told her, ""Why would I sell my car? There are only 40,000 miles on it.""";49;;;
Blonde;Blonde's Twinkle;"Q: How do you get a twinkle in a blonde's eye? 

A: Shine a flashlight in her ear.";8;;;
Blonde;Blonde's Brain Transplant;"Q: How do you give a blonde a brain transplant? 

A: Blow in her ear.";7;;;
Blonde;Two blondes are shopping at the mall...;"Two blondes are shopping at the mall. When they are done they go out to their car, which happens to be an awesome leather interior convertible. When they get to the car, they realize they had locked the keys in the car. So they both kind of stand there and think for a while. 

Finally one gets am idea to try to open the car with a hanger. So the first blonde starts fiddling with the lock with the hanger. The other blonde looks up at the sky and suddenly becomes very worried.

""HURRY, HURRY,"" she urges. ""IT'S GOING TO RAIN AND WE LEFT THE TOP DOWN!""";55;;;
Blonde;Sex-Obsessed Blonde;"Q: Why do some blondes only think about sex?

A: They're dirty blondes.";7;;;
Blonde;Blonde Lottery;Q: What's the top prize in the blonde lottery?   A: $20 a year for a million years.;8;;;
Blonde;Blonde Sunday;Q: Why did the blonde think it was Sunday?A: Because the sun was out.;7;;;
Blonde;Bus Stop Confusion;"Two blondes wait at a bus stop.

A bus pulls up and opens the door. One of the blondes leans inside and asks the driver, ""Will this bus take me to 5th Avenue?""

The bus driver says, ""No, I'm sorry.""

The other blonde leans inside and asks, ""How about me?""";26;;;
Blonde;Sky Diving;"Q: Why do blondes wear tampons when they skydive?  

A: So they don't whistle on their way down.";10;;;
Blonde;Who Killed Abraham Lincoln?;"A blonde walks into the police department looking for a job.  The officer wants to ask her a few questions.... 
 
Officer: What's 2+2?  

Blonde: Ummmmm... 4!  

Officer: What's the square root of 100?  

Blonde: Ummmm... 10!  

Officer: Good!  Now, who killed Abraham Lincoln?  

Blonde: Ummmm... I dunno.  

Officer:  Well, you can go home and think about it.  Come back tomorrow.    

The blonde goes home and calls up one of her friends, who asks her if she got the job. The blonde says, excitedly, ""Not only did I get the job, I'm already working on a murder case!""";57;;;
Blonde;Video Blonde;"Did you hear about the blonde and the weight loss video? 

She threw it away because the people in the video weren't losing weight either!";14;;;
Blonde;Why did the blonde go to KFC?;"Why did the blonde go to KFC?

She heard she could get a pair of breasts for $1.99";8;;;
Blonde;The Wet and the Blonde;"Why did the Blonde pee in the Grocery Store?  
  
The sign said ''Wet Floor.''";8;;;
Blonde;You Silly Blonde. Don't You Get It?;"A blonde was at home watching TV with her friends when she heard a noise. She ran out just in time to see a thief drive off in her car.

""Did you see their face?"" her friends asked when she came back inside.

""No, but it's okay -- I got the license plate number!""";26;;;
Blonde;Blonde Pregnancy;"Q: What does a blonde say when she finds out she's pregnant?    

A: ""Are you sure it's mine?""";9;;;
Blonde;Blonde Technology;"Q: Why did the blonde sell her television?     

A: To buy a VCR.";6;;;
Blonde;Three Blondes;"Q: Why did three blondes jump off a building?


A: They wanted to see if their maxi-pads really had wings.";11;;;
Blonde;Very Helpful Blonde Inventions;"
Ice Cube Mix
Tricycle Kickstand
Solar Flashlight
Dehydrated Water
Fire Proof Matches
Reversible Sandwich Bread
Black Light Bulb
Garage Door Closer
Cordless Cell Phone
Disposable Garbage Bags";19;;;
Blonde;Blondes at Sea;"Q: What do you call nine blondes in the ocean?    

A: An air pocket.";7;;;
Blonde;Three Girls in the Desert;"A blonde, brunette and redhead are in a desert. The brunette says, ""I brought some water so we don't get dehydrated."" The redhead says, ""I brought some suntan lotion so we don't get sunburned."" Then the blonde says I brought a car door."" The other girls said, ""Why did you bring that?"" Then the blonde says, ""So I can roll down the window if it gets hot.""";36;;;
Blonde;Blonde's Pregnancy Tests;Q: Why did the blonde take more than one pregnancy test?A: Because she slept with more than one guy.;10;;;
Blonde;Blonde's Shoes;"Q: Why do blondes need ""TGIF"" written on their shoes?  

A: To remind them that Toes Go In First.";10;;;
Blonde;The Midget Scopes the Blonde;"A midget is riding a bus when a blonde steps on   him.  
“Hey you,   brunette, watch where you're going,” yells the midget. 
The blonde looks down and says, “I am not a   brunette, I am a blonde.”
The midget replies, “Not from where I'm   standing.”";26;;;
Blonde;A Blonde's Special Picture;"Q: Why did the blonde keep a picture of herself in her room?    

A: So she could use it as a mirror.";10;;;
Blonde;Blonde Thanksgiving;"It was the first time a blonde was eating Thanksgiving dinner without her family, so she prepared a dinner by herself. The next day, her mother called to see how everything went.

""Mom, I made myself a lovely dinner, but I had so much trouble trying to eat the turkey!"" the blonde said.

""Did it not taste good?"" her mother asked.

""I don't know,"" the blonde replied. ""It wouldn't sit still!""";39;;;
Blonde;How Do You Confuse A Blonde?;"Q: How do you confuse a blonde?    

A: Give her an M&M bag, and tell her to alphabetize it.";9;;;
Blonde;Upside Down Blonde;"What do you call a blonde standing on her head?


A brunette with bad breath.";8;;;
Blonde;Skip To My Fool;"One day, a blonde was skipping on some train tracks singing ""21, 21, 21, 21,...'''' 

Along came a blonde who thought it looked like fun. 

So she joined in and started singing ""21, 21, 21, 21,"" and then a train came. 

The brunette jumped off the tracks but the train ran over the blonde. 

The brunette got back on the train tracks and started singing ""22, 22, 22, 22,...""";37;;;
Blonde;Blonde Brings Gun to Wedding;"Q: Why did the blonde bring a gun to the wedding?  

A: She was told she was supposed to hold up the bride's train.";12;;;
Blue Collar;Redneck Booty Call... Hog;Care to worm my hog?;2;;;
Blue Collar;Redneck Booty Call... Check Out;I'd like to check out your outhouse!;4;;;
Blue Collar;Texas Trooper;"Two guys are speeding through Texas when a state trooper pulls them over.  The trooper walks up to the drivers side of the car, gets out his billy club and smacks the driver across the face.  Stunned, the driver asks, ''Why did you do that??''  
The trooper responds, ''You're in Texas now son, you have that license out and ready around here!''  
''I apologize sir, I'm not from around here.''  
The trooper then walks to the passenger side of the car, and taps on the window. The passenger rolls down his window and the trooper takes out his club and smacks the passenger across the face. 
''What was that for?'' asked the passenger. 
''I know your kind,'' says the trooper, ''About two miles down the road you would have looked at your buddy and said 'I wish that son of a bitch would have tried that crap with me!'''";82;;;
Blue Collar;Redneck Christmas Shopping;"You know you're a redneck when... 

you go Christmas shopping for your mom, sister, and girlfriend and only come back with one gift.";13;;;
Blue Collar;Ron White: Helping the Planet;Why are you a vegetarian?' I asked him. And it wasn't even because meat is bad for you. He said that raising cattle was bad for the planet -- with cow flatulence in the ozone and the clearing of land for the raising of cattle. 'What are you doing to help the environment?' 'I'm eating the cow.';29;;;
Blue Collar;Bobcat Goldthwait: In Favor of Guns;I'm all for hunters owning guns. That increases the odds of two rednecks blowing each other's heads off.;10;;;
Blue Collar;An Arkansas Delivery;"In the backwoods of Arkansas, Mr. Stewart's wife went into labor in the middle of the night. The doctor was called in to assist in the delivery.

To keep the nervous father-to-be busy, the doctor handed him a lantern and said, ""Here, you hold this high so I can see what I'm doing."" Soon, a baby boy was brought into the world.

""Don't be in a rush to put the lantern down. I think there's yet another wee one to come."" Sure enough, within minutes he had delivered another baby.

""Now don't be in a great hurry to be putting down that lantern, young man. It seems there's yet another!"" cried the doctor.

The new father scratched his head in bewilderment and asked the doctor. ""Do ya think it's the light that's attractin' them?""";73;;;
Blue Collar;Ron White: At the Vet's;The veterinarian had the audacity to say to me, 'Mr. White, if you'll just come on back here, we'll show you how to do this, and next time, you don't have to bring in the dog. You can just bring in the semen.' 'That's OK. You go ahead and jack off the dog. He follows me around too much as it is.';30;;;
Blue Collar;Ba Ba Black Sheep;"Clem pulled over the car by the side of the road and showed Jed where he'd first had sex.

""It was right down there by that tree. I remember the day plainly. It was a warm summer day. She and I were so much in love. We walked down to the tree and made love for hours,"" Clem recalled.

""That sounds wonderful,"" said Jed.

""Yes. It was okay until I looked up and noticed her mother was standing right there watching us.""

""Oh my God! What did her mother say when she saw you making love to her daughter?""

""Baaaaa...""";52;;;
Blue Collar;Taxing Profession;"A woman goes to an accountant to file her taxes.

The accountant says, ""Before we begin, I need to ask a few questions. What is your occupation?""

The woman replies, ""I'm a whore.""

The accountant says, ""No, no, no. That is much too crass. Let's try to rephrase that.""

The woman replies, ""OK, I'm a prostitute.""

""No, that is still too crude. Try again.""

They both think for a minute, then the woman states, ""I'm a chicken farmer.""

The accountant asks, ""What does chicken farming have to do with being a prostitute?""

""Well, I raised over 5,000 c**ks last year.""";56;;;
Blue Collar;Fifty Cent Piece;"What did the redneck do with his his first fifty-cent piece?

He married her.";8;;;
Blue Collar;Texan Poetry;"The finals of the National Poetry Contest last year came down to two  finalists. One was a San Francisco State University graduate from an upper-crust family; well-bred, well-connected and all that goes with it.    The other finalist was a redneck from Texas A & M.  Go figure.   

The rules of the contest required each finalist to compose a four-line poem  in one minute or less, and the poem had to contain the word “Timbuktu.” 

The San Francisco State graduate went first. About thirty seconds  after the clock started he jumped up and recited the following poem:    



“'Slowly across the desert sand

                
Trekked the dusty caravan.                


Men on camels, two by two                


Destination -- Timbuktu.”  

The audience went wild! How, they wondered if the redneck could top that?!    The clock started again and the redneck sat in silent thought.  Finally, in the last few seconds, he jumped and recited:                  



“Tim and me, a-huntin' went.                


Met three whores in a pop-up tent.                


They was three, we was two,                


So I bucked one and Timbuktu”";115;;;
Blue Collar;My Dog Don't Bite;"A hound dog lays in the yard and an old man in overalls sits on the porch.

""Excuse me, sir, but does your dog bite?"" a jogger asks.

The old man looks over his newspaper and replies, ""Nope.""

As soon as the jogger enters the yard, the dog begins snarling and growling, and then attacks the jogger's legs. As the jogger flails around in the yard, he yells, ""I thought you said your dog didn't bite!""

The old man mutters, ""Ain't my dog.""";44;;;
Blue Collar;Guy From West Virginia;Q: What do you call a guy from West Virginia who doesn't have sisters?   A: A virgin.;8;;;
Blue Collar;Toothpaste Inventor;"Q: How do you know that someone from West Virginia invented toothpaste?

A: If anyone else would have invented it, it would be called ""teethpaste.""";15;;;
Blue Collar;Chucky at the Movies;"An old farmer went to town to see a movie. The ticket agent asked, ""Sir, what's that on your shoulder?"" 

The old farmer said, ""That's my pet rooster Chucky, wherever I go, Chucky goes."" 

""I'm sorry sir."", said the ticket agent, ""We don't allow animals in the theater."" 

The old farmer went around the corner and stuffed the bird down his pants. He returned to the booth, bought a ticket and entered the theater. He sat down next to two old widows named Mildred and Marge. 

The movie started and the rooster began to squirm. The old farmer unzipped his pants so Chucky could stick his head out and watch the movie. 


""Marge"", whispered Mildred. 

""What"", said Marge. 

""I think this guy next to me is a pervert."", said Mildred. 

""What makes you think that"", asked Marge. 

""He unzipped his pants and he has his thing out"", whispered Mildred. 

""Well, don't worry about it"", said Marge, ""At our age we've seen them all."" 

""I thought so"", said Mildred, ""But this one is eating my popcorn!""";99;;;
Blue Collar;Jordan Rubin: Drunk Driving Test in Kentucky;They got all these new drunk driving tests, these sophisticated tests, breathalyzers. I got pulled over in deep rural, backwoods Kentucky. They don't have sophisticated tests for drunk driving there. They just pulled out a wallet-sized photo of Rosie O'Donnell. They're like, 'Is she attractive?';30;;;
Blue Collar;Yo' Mama Is So Redneck... Door Mat;Yo' Mama is so redneck, the door mat to her trailer home doubles as a mad flap for her pick up truck.;10;;;
Blue Collar;The Clever Farmer;"Q: Why did the farmer plow his field with a steamroller?   

A: He wanted mashed potatoes.";9;;;
Blue Collar;Bumpy Car Ride;"There were three guys in a car. One driving, the other in the passenger seat and one resting in the back. The guy in the back became sleepy and fell asleep. A few minutes later, he is startled by a ""THUMP THUMP.""

""What the hell was that?"" he shouted. 

The driver says, ""It was just a redneck."" 

""I felt two thumps, though,"" says the passenger.

""Yeah we had to go through the fence to hit him.""";40;;;
Blue Collar;Rodeo Style;"Q: How do cowboys do it rodeo style?
A: They start out doggy style, hold a breast in each hand, tell her that she feels just like an ex-girlfriend, then see if they can hold on for eight seconds.";20;;;
Blue Collar;Traveling Salesman;"A traveling salesman approached an old farmhouse and noticed the strange behavior of the couple inside. The woman was running the lawn mower over the carpet and the man had one hand dipped in a fish bowl and was playing with himself with the other. The salesman assumed they were crazy and   moved on.   

After he'd finished his pitch at the next farmhouse, he mentioned what he'd just seen. 

''Oh, those folks ain't crazy,'' the farmer said,   ''They're both deaf mutes. She was telling him to mow the lawn, and he was telling her to go f**k herself because he was going fishing.''";58;;;
Blue Collar;Rooster in His Declining Years;"An old farmer decided it was time to get a new rooster for his hens.  The current rooster was   still doing an okay job, but he was getting on in  years and the farmer figured getting a new rooster   couldn't hurt.  So he buys a new cock from the   local rooster emporium, and turns him loose in the   barnyard.    Well, the old rooster sees the young one strutting   around and he's a little worried about being replaced. He walks up to   the new bird.

""So you're the new stud in   town?  I bet you really think you're hot stuff   don't you?  Well I'm not ready for the chopping   block yet.  I'll bet I'm still the better bird.    And to prove it, I challenge you to a race around   that hen house over there.  We'll run around it   ten times and whoever finishes first gets to have   all the hens for himself."" 
   
Well, the young rooster was a proud sort, and he   definitely thought he was more than a match for   the old guy.  

""You're on,"" he said, ""and since   I'm so great, I'll even give you a head start of   half a lap.  I'll still win easy!""   

So the two roosters go over to the henhouse to   start the race with all the hens gathering to   watch.  The race begins and all the hens start   cheering the old rooster on.  After the first lap,   the old rooster is still maintaining his lead.   

After the second lap, the old guy's lead has   slipped a little -- but he's still hanging in there.  Unfortunately, the old rooster's lead continues to   slip each time around, and by the fifth lap he's   just barely in front of the young fella.    By now the farmer has heard the commotion.  He   runs into the house, gets his shotgun and runs   into the barnyard figuring a fox or something is   after his chickens.  When he gets there, he sees   the two roosters running around the henhouse,   with the old rooster still slightly in the lead.    He immediately takes his shotgun, aims, fires, and   blows the young rooster away.    

""Damn. That's the third gay rooster I've bought this month.""";201;;;
Blue Collar;Airplane Hijinx;"Two women, one from the north and one from the south, are seated next to one another on a plane. 

""Where you flyin' to?"" says the southern woman. The northern woman turns up her nose.

""Don't you know you should NEVER end a sentence with a preposition?"" The southern woman thinks about this for a second.

""Where you flyin' to, bitch?""";34;;;
Blue Collar;Redneck Booty Call... Elvis;Can I come over and see your Velvet Elvis?;4;;;
Blue Collar;Larry the Cable Guy: Fishing While Hammered;We fishing the other day, and I get hammered and I'm like, 'I gotta take a leak.' So, I start peeing in the lake -- realized I was in the fish tank up at the Red Lobster. Thank God they put some rubber bands on them lobster pinchers, I tell you that much. Good lord, I'd be up here half-c**ked right now.;30;;;
Blue Collar;A Brunette a red head and a blonde were in ...;"A brunette, a red-head and a blonde were in jail when they decided to break out. The girls broke out and the brunette said, ""Let's hide in that barn, they'll never find us.""
So they climed up the ladder and then the blonde threw it down. 
The next morning, the cops said, ""Come out with your hands in the air!"" 
The red-head said, ""Hide in those baskets, they'll never find us!"" So the Brunette got in the first one, the red-head got in the second one and the blonde got in the third one. Meanwhile, the cops were getting a ladder set up and trying to get up there. Once they got up, the seargent ordered them to kick the baskets. 
So the cop kicked the first one: ""RUFF.""
""It's just a damn dog!"" yelled the cop. 
The cop kicked the next one: ""MEOW."" 
""It's just a damn cat,"" yelled the cop.
The cop kicked the next basket and the blonde yelled, ""POTATOES!""";86;;;
Blue Collar;Three Redneck Lies;"-- The pickup is paid for.

-- I won this belt buckle in the rodeo.

-- I was just helping that sheep over the fence.";12;;;
